,name,city,country,visitors,population
0,Louvre,Paris,France,7726321,10901000
1,Vatican Museums,Rome,Italy,5080866,2860009
2,Natural History Museum,London,United Kingdom,4654608,9046000
3,British Museum,London,United Kingdom,4097253,9046000
4,National Museum of Natural History,Washington,Unitesd States,3900000,5207000
5,Tate Modern,London,United Kingdom,3883160,9046000
6,National Museum of Korea,Seoul,South Korea,3411381,9963000
7,Guangdong Museum,Guangzhou,China,3359700,12638000
8,Mevlana Museum,Konya,Turkey,3352505,1390051
9,Musée d'Orsay,Paris,France,3270182,10901000
10,National Gallery of Art,Washington,Unitesd States,3256433,5207000
11,Metropolitan Museum of Art,New York City,United States,3208832,8804190
12,Centre Pompidou,Paris,France,3009570,10901000
13,State Hermitage Museum,Saint Petersburg,Russia,2812913,5383000
14,National Gallery,London,United Kingdom,2727119,9046000
15,State Russian Museum,Saint Petersburg,Russia,2651688,5383000
16,National Museum of Marine Science and Technology,Keelung,Taiwan,2582444,362177
17,Prado Museum,Madrid,Spain,2456724,6497000
18,Victoria and Albert Museum,London,United Kingdom,2370261,9046000
19,London Science Museum,London,United Kingdom,2334930,9046000
20,Chinese Aviation Museum,Beijing,China,2300000,19618000
21,National Museum of Natural Science,Taichung,Taiwan,2299808,2831323
22,Galleria degli Uffizi,Florence,Italy,2222692,367150
23,Museum of Modern Art,New York City,United States,2190440,8804190
24,Topography of Terror,Berlin,Germany,2100000,3850809
25,M+,Hong Kong,China,2034331,7429000
26,Opium War Museum [zh],Dongguan,China,2025800,7360000
27,Cité des Sciences et de l'Industrie,Paris,France,1992823,10901000
28,National Museum of Scotland,Edinburgh,United Kingdom,1973751,530990
29,State Tretyakov Gallery,Moscow,Russia,1910000,12410000
30,National Taiwan Science Education Center,Taipei,Taiwan,1878504,2494813
31,National Science and Technology Museum,Kaohsiung,Taiwan,1875372,2733964
32,National Museum of Modern and Contemporary Art,Seoul,South Korea,1806641,9963000
33,Smithsonian Museum of American History,Washington,Unitesd States,1800000,5207000
34,Rijksmuseum,Amsterdam,Netherlands,1766084,921402
35,California Science Center,Los Angeles,United States,1694000,12458000
36,National Museum of China,Beijing,China,1630911,19618000
37,Royal Museums Greenwich,London,United Kingdom,1628580,9046000
38,Nanjing Museum,Nanjing,China,1610000,8245000
39,Zhejiang Museum of Natural History,Hangzhou,China,1581263,7236000
40,National Gallery of Victoria,Melbourne,Australia,1580303,5031195
41,Jianchuan Museum Cluster,Chengdu,China,1538143,8813000
42,Houston Museum of Natural Science,Houston,United States,1520000,6115000
43,Tokyo Metropolitan Art Museum,Tokyo,Japan,1509970,37468000
44,Changzhou Museum,Changzhou,China,1508229,5278121
45,Humboldt Forum,Berlin,Germany,1500000,3850809
46,National Museum of Anthropology,Mexico City,Mexico,1494587,21581000
47,National Museum of History,Mexico City,Mexico,1486379,21581000
48,National Air and Space Museum[b],Washington,Unitesd States,1486000,5207000
49,Kaohsiung Museum of Fine Arts,Kaohsiung,Taiwan,1461406,2733964
50,Acropolis Museum,Athens,Greece,1451727,3059764
51,China Science and Technology Museum,Beijing,China,1431189,19618000
52,Galleria dell'Accademia,Florence,Italy,1428369,367150
53,Suzhou Museum,Suzhou,China,1417412,6339000
54,Chengdu Museum,Chengdu,China,1404735,8813000
55,Shanghai Science and Technology Museum,Shanghai,China,1403179,25582000
56,"The National Art Center, Tokyo",Tokyo,Japan,1400096,37468000
57,Louis Vuitton Foundation,Paris,France,1398525,10901000
58,Tokyo National Museum,Tokyo,Japan,1372132,37468000
59,"National Museum, Krakow",Krakow,Poland,1365425,766683
60,Centro Cultural Banco do Brasil,São Paulo,Brazil,1364208,21650000
61,Van Gogh Museum,Amsterdam,Netherlands,1364023,921402
62,National Museum of Nature and Science,Tokyo,Japan,1350000,37468000
63,Kunsthistorisches Museum,Vienna,Austria,1345617,1951354
64,Tianjin Natural History Museum,Tianjin,China,1320752,13215000
65,Palacio de Cristal del Retiro,Madrid,Spain,1318823,6497000
66,Guggenheim Museum Bilbao,Bilbao,Spain,1289147,345821
67,Scottish National Gallery,Edinburgh,United Kingdom,1277230,530990
68,National Gallery Singapore,Singapore,Singapore,1262189,5792000
69,Museo Reina Sofía,Madrid,Spain,1253183,6497000
70,Museum of European and Mediterranean Civilisations,Marseille,France,1251030,870321
